MedCode,MedDescription,MedFamily
3301577,MONUROL 3GR SOBRES CAJA C/1 FOSFOMICINA,Antiinfecciosos para uso sistémico
3301578,STADIUM 25MG C/10 TABS DEXKETOPROFENO TROMETAMOL,Sistema musculoesquelético
3301580,CARNOTPRIM 10MG C/20 CPR METOCLOPRAMIDA,Tracto alimentario y metabolismo
3301582,TOPAMAX 25MG C/20 TAB(TOPIRAMATO),No encontrado
3301585,CORDARONE 150MG AMP 3ML (AMIODARONA),Sistema cardiovascular
3301586,CORDARONE 200MG C/20 TAB(AMIODARONA ),Sistema cardiovascular
3301588,AVAPRO 150MG C/14 TAB(IRBESARTAN),Sistema cardiovascular
3301594,CORPOTASIN CL C/50 TAB AMSTRONG,Tracto alimentario y metabolismo
3301595,SEROQUEL 100MG C/30 TAB (QUETIAPINA),Sistema nervioso
3301597,INHIBITRON 40MG AMP 10ML (OMEPRAZOL),Tracto alimentario y metabolismo
3301599,COAPROVEL 150MG/12.5MG C/14 TAB(IRBESARTAN/HIDROCLOROTIAZIDA,Sistema cardiovascular
3301600,ALIN GOTAS NASAL 20ML(DEXAMETASONA/FENILEFRINA/NEOMICINA),"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301601,CYTOTEC 200MCG C/28 TAB (MISOPROSTOL),Tracto alimentario y metabolismo
3301602,DACTIL OB 100MG C/30 GRAGEAS(PIPERIDOLATO),Tracto alimentario y metabolismo
3301603,COAPROVEL 300/12.5MG C/14 TAB(IRBESARTAN/HIDROCLOROTIAZIDA),Sistema cardiovascular
3301604,DALACIN C 300 C/16 CAPS(CLINDAMICINA),Antiinfecciosos para uso sistémico
3301606,DANZEN 10MG C/20 TAB(SERRATIOPEPTIDASA) HORMONA,Sistema respiratorio
3301607,CO DIOVAN 80MG/12.5MG C/14 GRAGEASVALSARTANHIDROCLOROTIAZIDA,No encontrado
3301608,CO DIOVAN 160MG/12.5MG C/14 GRAGEASVALSARTANHIDROCLOROTIAZID,No encontrado
3301609,ALDACTONE 100MG C/30 TAB (ESPIRONOLACTONA ),Sistema cardiovascular
3301617,PANTOZOL P20 20MG C/28 GRAG (PANTOPRAZOL),Tracto alimentario y metabolismo
3301623,ACTRON 200 200MG C/10 CAPS (IBUPROFENO),Sistema musculoesquelético
3301625,ALDACTONE A 25MG C/30 TAB (ESPIRONOLACTONA),Sistema cardiovascular
3301626,UROMES 400MG AMP C/5 (MESNA),Varios
3301627,DORIXINA 250MG C/10 TAB(CLONIXINATO DE LISINA),Sistema musculoesquelético
3301628,VARILRIX 0.5 ML 1JERIGA PRELLENADA (ANTIVARICELA),Antiinfecciosos para uso sistémico
3301632,DIMODAN 100MG C/20 CAP (DISOPIRAMIDA),Sistema cardiovascular
3301637,ZOVIRAX 5G CREMA(ACICLOVIR),Antiinfecciosos para uso sistémico
3301640,CARBOTURAL (CARBON ACTIVADO) 250 MG TAB C/60,Tracto alimentario y metabolismo
3301641,BI PROFENID 150MG C/10 TAB KETOPROFENO,No encontrado
3301642,X-PREP 75ML JBE(SENOSIDOS A-B),Tracto alimentario y metabolismo
3301643,MENSIFEM C/30 TAB CIMICIFUGA RECEMOSA,Sistema genitourinario y hormonas sexuales
3301648,ISOX 3-D 100MG C/6 CAPS(ITRACONAZOL),Antiinfecciosos para uso sistémico
3301652,AEROFLUX 120ML SOLUCION (SALBUTAMOL/AMBROXOL),Sistema respiratorio
3301654,"KRYTAN TEK OFTENO GOTAS 5ML(DORZOLAMINA,TIMODOL,BRIMONIDINA)",Órganos de los sentidos
3301656,SALOFALK SUSP.ENEMA 60ML,Tracto alimentario y metabolismo
3301658,DEXABION AMP PRELLENADA 1ML(COMPLEJO B/LIDOCAINA),Sistema musculoesquelético
3301662,TAFIROL FLEX 300/250MG C/30 TAB(PARACETAMOL/CLORZOXAZONA),Sistema nervioso
3301665,KYTRIL 3MG AMP 3ML (GRANISETRON),Tracto alimentario y metabolismo
3301667,PREDNEFRIN 1% SF 5ML PREDNISOLONA,Órganos de los sentidos
3301674,TRADOL RETARD 50MG C/10 TAB (TRAMADOL),Sistema nervioso
3301676,DALACIN T GEL 30GR CLINDAMICINA AL 1%,Antiinfecciosos para uso sistémico
3301677,ANTIGRAM C/10 SOBRESACETIL SALICILICO/METOCLOPRAMIDA,Sistema nervioso
3301683,ZYPREXA 10MG C/7 (OLANZAPINA),Sistema nervioso
3301690,LIPITOR 20MG C/15 TAB(ATORVASTATINA),Sistema cardiovascular
3301696,ZOMIG 2.5MG C/2 TAB(ZOLMITRIPTANO),No encontrado
3301699,AMARYL 2MG C/15 TAB(GLIMEPIRIDA),Tracto alimentario y metabolismo
3301700,AMARYL 4MG C/15 TAB(GLIMEPIRIDA),Tracto alimentario y metabolismo
3301705,DILACORAN RETARD 120MG C/30 TAB VERAPAMILO,Sistema cardiovascular
3301709,IMURAN 50MG C/25 TAB AZATIOPRINA,Antineoplásicos e inmunomoduladores
3301713,AMOXICLAV BID 875MG/125MG C/14 TAB(AMOXICILINA/ACIDO,Antiinfecciosos para uso sistémico
3301714,DOLAC 10MG C/10 TAB (KETOROLACO) SIEGFRIED RHEIN,Sistema musculoesquelético
3301715,DILARMINE 1MG/2MG C/25 TAB PARAMETASONA/CLORFERAMINA,Sistema respiratorio
3301718,CIPRO XR 1G C/3 TAB CIPROFLOXACINO,Antiinfecciosos para uso sistémico
3301719,FORTEO COLTER 250MCG/2.4ML PLUMA TERIPARATIDA,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301720,ZOMIG RAPIMELT 2.5MG C/2 TAB(ZOLMITRIPTANO),No encontrado
3301721,EUTIROX 75MCG C/50 TAB(LEVOTIROXINA SODICA),"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301727,ALLEGRA D 60/25MG C/10 TAB(FEXOFENADINA/FENILEFRINA),Sistema respiratorio
3301736,TRAZIL OFTENO 15ML SOL GTS(TOBRAMICINA),Órganos de los sentidos
3301740,ACTRON 400 400MG C/10 CAP (IBUPROFENO) LAB. BAYER DE MEXICO,Sistema musculoesquelético
3301747,LYRICA 75MG C/14 TAB (PREGABALINA),Sistema nervioso
3301748,ZESTRIL 10MG C/14 TAB(LISINOPRIL),Sistema cardiovascular
3301750,AVAMYS 2A 120 DOSIS SPRAY 50ML(FLUTICASONA),Sistema respiratorio
3301752,DORIXINA 100MG AMP 2ML CLONIXINATO DE LISINA,Sistema musculoesquelético
3301757,FOLIVITAL 0.4MG C/90 TABS(ACIDO FOLICO),Sangre y órganos hematopoyéticos
3301758,TARGOCID 400MG AMP (TEICOPLANINA),No encontrado
3301759,LOMOTIL 2MG C/8 TAB (LOPERAMIDA ),Tracto alimentario y metabolismo
3301762,XARELTO 10MG C/10 CAP(RIVAROXABAN),Sangre y órganos hematopoyéticos
3301768,ATEMPERATOR LP (VALPROATO DE MAGNESIO) 600 MG TAB LP C/20,Sistema nervioso
3301771,SOMAZINA 1G AMP 4ML (CITICOLINA),No encontrado
3301776,MINITRAN 18.0 MG (5 MG)PARHE POR PIEZA,Sistema cardiovascular
3301777,DOLO NEUROBION FORTE AMP PRELLENADA 3 ML(COMPLEJO B/LIDOCAIN,Tracto alimentario y metabolismo
3301778,FLIXOTIDE 2MG AMP 2ML (FLUTICASONA),Sistema respiratorio
3301780,ACLASTA 5MG/100ML AMP (ACIDO ZOLEDRSNICO),Sistema musculoesquelético
3301783,PRADAXAR 75MG C/30 CAPDABIGATR@N ETEXILATO,Sangre y órganos hematopoyéticos
3301784,PULMICORT 0.250MG 2ML AMP (BUDESONIDA),Sistema respiratorio
3301788,DOLO NEUROBION FORTE C/30 GRAGEAS COMPLEJO B/DICLOFENACO,Tracto alimentario y metabolismo
3301789,DOLO NEUROBION 50MG C/30 GRAGEAS(COMPLEJO B/DICLOFENACO),Tracto alimentario y metabolismo
3301790,DOLO NEUROBION AMP C/3 (COMPLEJO B/DICLOFENACO),Tracto alimentario y metabolismo
3301791,AMOXICLAV (AMOXICILINA/AC CLAVULANICO) 500MG/125MG TAB C/15,Antiinfecciosos para uso sistémico
3301794,DORIXINA 125MG C/10 TAB(CLONIXINATO DE LISINA),Sistema musculoesquelético
3301806,MOTRIN INF 120ML SUSP FSA(IBUPROFENO),Sistema musculoesquelético
3301808,ADALAT CC 30MG C/30 COMP.(NIFEDIPINO,No encontrado
3301812,ZESTORETIC 20MG/12.5 (LISINOPRIL/HIDROCLOROTIAZIDA) C/14 TAB,Sistema cardiovascular
3301813,ELOMET 100MG UNGUENTO 30G(MOMETASONA),Dermatológicos
3301814,CLARITYNE PED 100 MG 30ML GTS(LORATADINA),Sistema respiratorio
3301821,TAVOR 5MG C/30 TAB OXIBUTININA,Antiinfecciosos para uso sistémico
3301824,EPIVAL 500MG C/30 CPR (VALPROATO SEMISODICO),Sistema nervioso
3301828,ESPAVEN GTS PED 30ML(DIMETICONA),Tracto alimentario y metabolismo
3301834,FUCIDIN 2% CREMA 15G TUBO(ACIDO FUSIDICO),Dermatológicos
3301836,LYSOMUCIL 600 MG C/20 TAB EFERV(ACETILCISTEINA),Sistema respiratorio
3301843,TECTA 20MG C/14 TAB(PANTOPRAZOL),Tracto alimentario y metabolismo
3301846,EUGLUCON 5MG C/50 TAB(GLIBENCLAMIDA),Tracto alimentario y metabolismo
3301849,PRADAXAR 110MG C/30 CAP,Sangre y órganos hematopoyéticos
3301851,EUTIROX 100MCG C/50 TAB(LEVOTIROXINA SODICA),"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301856,EUTIROX 50MCG C/50 TAB(LEVOTIROXINA SODICA),"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301857,CILOXAN 0.300G SOLUCION 5ML(CIPROFLOXACINO),Órganos de los sentidos
3301861,AZOPT (BRINZOLAMIDA) 10 MG /ML GOTAS 5 ML,Órganos de los sentidos
3301866,GARDASIL 0.5ML JGA PRELLENADA VACUNA CONTRA VIRUS DEL PAPILO,Antiinfecciosos para uso sistémico
3301871,GALVUS MET 50MG/500MG C /30(VILDAGLIPTINA/METFORMINA),Tracto alimentario y metabolismo
3301872,ARIXTRA 2.5MG/0.5ML JGA PRELL CAJA C/2 AMP FONDAPARINUX SSDI,Sangre y órganos hematopoyéticos
3301873,SERETIDE DISKUS 50UG/250U INHALADORDOSISSALMETEROL/FLUTICASO,No encontrado
3301879,FEBRAX 275MG/300MG C/15 TAB (NAPROXENO /PARACETAMOL ),Sistema nervioso
3301881,"FEBRAX 2.5/2G SUSPENSION 100ML(NAPROXENO,PARACETAMOL)",Sistema nervioso
3301883,SPASMOPRIV 200MG C/12 CAPS FENOVERINA,Tracto alimentario y metabolismo
3301886,UNIVAL 1GR C/40 TAB(SUCRALFATO),Tracto alimentario y metabolismo
3301887,"ALMETEC CO 40/12.5MG C/14 TAB-OLMESARTAN,HIDROCLOROTIAZIDA",Sistema cardiovascular
3301889,EPAMIN 100MG C/50 CAPS(FENITOINA),Sistema nervioso
3301893,TRAZIDEX OFT 5ML SOL GTS(TOBRAMICINA/DEXAMETASONA),Órganos de los sentidos
3301894,AVALIDE 300/25MG C/14 TAB(IRBESARTAN/HIDROCLOROTIAZIDA),Sistema cardiovascular
3301895,FERRANINA I.M. 100MG AMP 2ML (HIERRO POLIMALTOSADO),Sangre y órganos hematopoyéticos
3301896,NOVOVARTALON C/15 SOBRES,Sistema musculoesquelético
3301898,STALEVO 100/25/200MG C/30 TABLEVODOPA/CARBIDOPA/ENTACAPONA,Sistema nervioso
3301899,FLUMIL 40/1.5/1.5MG C/20 CAPS(AMINOFENAZONA BUFENINA),No encontrado
3301900,GLYPRESSIN 1MG AMP (ACETATO DE TERLIPRESINA),"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301901,FLAGENASE 400MG C/30 CAP(METRONIDAZOL),"Antiparasitarios, insecticidas y repelentes"
3301905,PREVENAR 13 JERIN. PRELL CAJA C/1,Antiinfecciosos para uso sistémico
3301906,FLAGYL 500MG C/30 CPR(METRONIDAZOL),Antiinfecciosos para uso sistémico
3301907,BUSCAPINA FEM 20/400MG C/10 TAB BUTILHIOSCINA/IBUPROFENO,No encontrado
3301908,COUMADIN 5MG C/30 TAB-WARFARINA SSDICA,Sangre y órganos hematopoyéticos
3301913,FLAGYL 250MG SUSP 120ML(METRONIDAZOL),Antiinfecciosos para uso sistémico
3301922,DOSTEIN 300MG C/20 (ERDOSTEINA),Sistema respiratorio
3301924,PLAVIX 75MG C/14 GRAGEAS(CLOPIDOGREL),No encontrado
3301925,ADIMOD (PIDOTIMOD) 400MG/7ML FCO C/10,Antineoplásicos e inmunomoduladores
3301929,FLANAX 275MG C/20 TAB(NAPROXENO),Sistema musculoesquelético
3301930,ZANIDIP 10MG C/10 TABS(LERCANIDIPINO),Sistema cardiovascular
3301938,FLONORM 200MG C/12 GRAG(RIFAXIMINA),Tracto alimentario y metabolismo
3301939,DEPO PROVERA 150MG JGA PRELL MEDROXIPROGESTERONA,Sistema genitourinario y hormonas sexuales
3301940,FLORATIL 200MG C/6 SOBRES PED (SACCHAROMYCES BOULARDII),Tracto alimentario y metabolismo
3301941,"ESPAVEN ENZIMATICO C/50 GRAG((DIMETICONA,PANCREATINA)",Tracto alimentario y metabolismo
3301945,PEMIX 1MG/5ML SOL 120MLCINITAPRIDA,Tracto alimentario y metabolismo
3301955,HIDRASEC 10MG C/18 SOBRES(RACECADOTRILO),No encontrado
3301959,CIPROFLOX 400MG AMP 200ML (CIPROFLOXACINO),Antiinfecciosos para uso sistémico
3301960,RAPIX 30MG 2ML AMP (KETOROLACO),Sistema musculoesquelético
3301961,LIBERTRIM 100MG C/50 CPR(TRIMEBUTINA),Tracto alimentario y metabolismo
3301962,PHARMATON C/30 CAPS,Tracto alimentario y metabolismo
3301963,SAMYR 500MG AMP 5ML (ADEMETIONINA),Tracto alimentario y metabolismo
3301964,SAMYR 500MG C/10 TAB (ADEMETIONINA),Tracto alimentario y metabolismo
3301967,SUFREXAL P GEL 78G TUBO,Dermatológicos
3301969,RANISEN PED (RANITIDINA) 4G/100ML GOTAS 30ML,Tracto alimentario y metabolismo
3301979,MIFLONIDE 200MCG C/60 CAP(BUDESONINA),Sistema respiratorio
3301980,TRAYENTA 5MG C/30 LINAGLIPTINA,Tracto alimentario y metabolismo
3301981,PRADAXAR 150MG C/30 TABDABIGATRAN,Sangre y órganos hematopoyéticos
3301982,DETRUSITOL SR 4MG C/14 TAB(TOLTERIDONA),No encontrado
3301984,ACTRON 600 600MG C/10 TAB (IBUPROFENO) BAYER,Sistema musculoesquelético
3301991,DUSPATALIN C/14 TABS MEBEVERINA,No encontrado
3301993,TEMERIT 5MG C/14 TAB NEBIVOLOL,Sistema cardiovascular
3301996,FOSFOCIL IV 1G AMP (FOSFOMICINA),Antiinfecciosos para uso sistémico
3301999,TUMS 500MG C/75 TAB CARBONATO DE CALCIO,Tracto alimentario y metabolismo
3302000,CELEBREX 200MG C/10 CAPS(CELECOXIB) PFIRER,Sistema musculoesquelético
3302001,FRAXIPARINE 0.3ML AMPOLLETA C/2 (ANTI XA DE NADROPARINA CALC,Sangre y órganos hematopoyéticos
3302002,FRAXIPARINE 0.6ML JERINGA PRELLENADA C/2 (ANTI XA DE NADROP,Sangre y órganos hematopoyéticos
3302004,CANESTEN 200MG C/3 OVULOS(CLOTRIMAZOL),Dermatológicos
3302006,COSOPT 20MG/5MG SOL 5ML (DORZOLAMIDA/TIMOLOL),Órganos de los sentidos
3302010,ALIN OFT 90/3.50MG GOTAS 5ML(DEXAMETASONA/NEOMICINA),"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3302011,LOBIVON 5MG COM C/14(NEBIVOLOL),No encontrado
3302013,NEXIUM MUPS 20MG C/14 TABS,Tracto alimentario y metabolismo
3302015,ADALAT OROS 30MG C/30 TAB (NIFEDIPINO),No encontrado
3302017,MODIODAL 200MG C/14 TAB(MODAFINILO),No encontrado
3302021,ZOVIRAX 30MG UNG 4.5G(ACICLOVIR),Antiinfecciosos para uso sistémico
3302022,LOSEC A 20 20MG C/14 CAP(OMEPRAZOL ),No encontrado
3302026,DILATREND 6.25MG C/14 TAB(CARVEDILOL) ROCHE FARMA,Sistema cardiovascular
3302027,DANZEN 5MG C/30 GRAG(SERRATIOPEPTIDASA),Sistema respiratorio
3302034,CORPOTASIN GK 4.68G C/10 SOBRES-GLUCONATO DE POTASIO,Tracto alimentario y metabolismo
3302035,CONCOR 2.50MG C/30 GRAG(BISOPROLOL),Sistema cardiovascular
3302038,SINGULAIR 10MG 30 COMP RECUB MONTELUKAST,No encontrado
3302042,BLOPRESS 16MG C/14 TAB CANDESARTRAN,Sistema cardiovascular
3302044,CIRUELAX COMP C/24 TAB CASSIA ANGUSTIFOLIA,Tracto alimentario y metabolismo
3302045,ARCOXIA 90MG C/14 TAB (ETORICOXIB),No encontrado
3302046,NORFENON 150MG C/30 TAB(PROPAFENONA),Sistema cardiovascular
3302049,HISTIACIL NF INFANTIL JARABE 150ML DEXTROMETORFANO/AMBROXOL,Sistema respiratorio
3302060,FLUOXAC 20MG C/10 TAB((FLUOXETINA),Sistema nervioso
3302072,SUPRADOL 10MG C/10 TAB(KETOROLACO),Sistema musculoesquelético
3302073,SUPRADOL SUBLINGUAL 30MG C/4 TAB(KETOROLACO),Sistema musculoesquelético
3302076,EXFORGE HCT 10/320/25MG C/28 CPR(AMLODIPINO/VALSARTAN/HIDROC,Sistema cardiovascular
3302078,"NAPHACEL OFTENO 15ML GTS(NAFAZOLINA,HIPROMELOSA)",Órganos de los sentidos
3302085,ARCOXIA 120MG C/7 TAB (ETORICOXIB),No encontrado
3302091,LODESTAR 50 MG TAB C/30 (LOSARTAN),Sistema cardiovascular
3302093,ATROVENT 250MCG 20ML SOL (BROMURO DE IPRATROPIO),No encontrado
3302096,"GANFORTI GOTAS 3ML. BIMATOPROST, TIMOLOL",Órganos de los sentidos
3302097,LODESTAR ZID 50/12.5MG TAB C/30 (LOSARTAN+HIDROCLOROTIAZIDA),Sistema cardiovascular
3302098,NODESCRON 4MG AMPOLLETA (VECURONIO) PISA,Sistema musculoesquelético
3302101,GRANEODIN BENZ C/24 PAST.(BENZOCAINA),Sistema respiratorio
3302102,CEFAXONA I.M. 1G AMP (CEFTRIAXONA),Antiinfecciosos para uso sistémico
3302105,ICADEN V C/1 OVULO(ISOCONAZOL),Dermatológicos
3302110,ZALDIAR EFERVECENTES C/10 TAB(PARACETAMOL/TRAMADOL),No encontrado
3302118,HALDOL 2MG 15ML GOTAS(HALOPERIDOL),Sistema nervioso
3302120,HALDOL 5MG C/20 TAB(HALOPERIDOL),Sistema nervioso
3302121,CRONOLEVEL HYPAK 1ML(BETAMETASONA),"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3302130,LANTUS SOLOSTAR 100UI R AMP CAJC/5X3ML (INSULINA GLARGINA),Tracto alimentario y metabolismo
3302131,HEMOSIN K 5ML AMP. (CARBAZOCROMO/MENADIONA VIT K3),Sangre y órganos hematopoyéticos
3302135,LEVAMIN NORMO 8.5% 500ML (AMINOACIDOS) PISA,Sangre y órganos hematopoyéticos
3302137,HEPARINA 5000 10ML AMPOLLETA (INHEPAR),Sistema cardiovascular
3302138,ELEQUINE 500MG C/7 TAB.(LEVOFLOXACINO),Antiinfecciosos para uso sistémico
3302139,HEPARINA 1000UI 10ML AMPOLLETA (INHEPAR),Sistema cardiovascular
3302141,SHORANT SOL INY 10ML (INSULINA GLULISINA),Tracto alimentario y metabolismo
3302142,HUMALOG MIX 25 3.0ML C/2 CAR. (LISPRO/LISPRO PROTAMINA),Tracto alimentario y metabolismo
3302145,HUMALOG LISPRO 100UI 10ML AMP INSULINA LISPRO (ORIGEN ADN RE,Tracto alimentario y metabolismo
3302146,CREON 150MG C/20 CAPS-(PANCREATINA),Tracto alimentario y metabolismo
3302147,HIGROTON 50MG C/30 CPR(CLORTALIDONA),Sistema cardiovascular
3302151,AVALIDE 150/12.5MG C/14 TAB(IRBESARTAN/HIDROCLOROTIAZIDA),Sistema cardiovascular
3302152,PASTA DE LASSAR 30G TARRO,Falla en Google
3302157,MICARDIS 80MG C/14 TAB(TELMISARTAN),Sistema cardiovascular
3302158,AGIOLAX (PLANTAGO/SENNA) 5G SOBRES C/20,Tracto alimentario y metabolismo
3302170,ADEL 500MG C/10 TAB (CLARITOMICINA),Antiinfecciosos para uso sistémico
3302174,VESICARE 5MG C/10 TAB SOLIFENACINA,No encontrado
3302175,DOLO TANDAX 275/300MG C/12 GRAG (NAPROXENO/PARACETAMOL ),Tracto alimentario y metabolismo
3302181,ELEQUINE 750MG C/5 TAB(LEVOFLOXACINO),Antiinfecciosos para uso sistémico
3302184,NORVAS 5MG C/10 TAB (AMLODIPINO ),Sistema cardiovascular
3302185,ATEMPERATOR LP (VALPROATO GE MAGNESIO) 300 MG TAB LP C/20,Sistema nervioso
3302186,CREON 150MG C/50 CAPS PANCREATINA,Tracto alimentario y metabolismo
3302187,REDOXON PLUS C/10 TABS EFERVECENTES,Tracto alimentario y metabolismo
3302189,ACANOL 2MG C/12 TAB (LOPERAMIDA) SANOFI,Tracto alimentario y metabolismo
3302204,ICADEN 10MR CREMA 20G TUBO(ISOCONAZOL),Dermatológicos
3302206,MOBICOX 15MG C/10 TAB(MELOXICAM),Sistema musculoesquelético
3302207,BLEFAMIDE SF 10ML GOTAS OFT,Órganos de los sentidos
3302208,OMURO 40MG C/30 TAB(BROMURO DE OTILONIO),Tracto alimentario y metabolismo
3302209,MOTRIN SUSPENSION PED 15ML(IBUPROFENO),Sistema musculoesquelético
3302211,"VARTALON COMP 1500/1200MG C/30 SOB(GLUCOSAMINA,CONDROITIN)",Sistema musculoesquelético
3302215,BRISTAFLAM 100MG C/40 CPR ACECLOFENACO,Sistema musculoesquelético
3302216,"BEDOYECTA CAJA C/30 TABLETAS HIDROXOCOBALAMINA, VITAMINAS B1",Tracto alimentario y metabolismo
3302217,TRADOL RETARD 100MG C/10 TAB TRAMADOL,Sistema nervioso
3302218,ISORBID AP 40MG C/40 CAP(DINITRATO DE ISOSORBIDA),Sistema cardiovascular
3302224,AMOXIBRON 500MG C/12 CAPS (AMOXICILINA/BROMHEXINA),Sistema respiratorio
3302228,ILIADIN INF SOLUCION GOTAS 20ML (OXIMETAZOLINA ),Sistema respiratorio
3302242,ILOSONE 250MG 120ML SUSPENCION(ERITROMICINA),Antiinfecciosos para uso sistémico
3302243,TARGOCID 200MG AMP (TEICOPLANINA),No encontrado
3302245,LANTUS 100UI 10ML INY C/1 (INSULINA GLARGINA),Tracto alimentario y metabolismo
3302247,ILOSONE 125MG 120ML SUSPENCION(ERITROMICINA),Antiinfecciosos para uso sistémico
3302251,LACTEOL CRON C/28 CAP LACTOBACILOS,Tracto alimentario y metabolismo
3302252,MICARDIS 40MG C/14 TAB(TELMISARTAN),Sistema cardiovascular
3302255,SEPTRIN F 800/160 MG C/14SULFAMETOXAZOL/TRIMETOPRIMA,No encontrado
3302256,AZULFIDINA 500MG C/60 TAB(SULFASALAZINA),Tracto alimentario y metabolismo
3302257,CELLCEPT 500MG C/50 COMP MICOFENOLATO DE MOFETILO,Antineoplásicos e inmunomoduladores
3302261,SUCRATO 500MG C/20 CAPS SUBCITRATO DE BISMUTO,Tracto alimentario y metabolismo
3302265,IMODIUM 2MG C/12 GRAGEAS (LOPERAMIDA ),Tracto alimentario y metabolismo
3302270,AMOEBRIZ (MEBENDAZOL/QUINFAMIDA) 300MG/150MG TAB C/2,"Antiparasitarios, insecticidas y repelentes"
3302272,CAUDALINE 100MG C/30 TAB(CILOSTAZOL),Sangre y órganos hematopoyéticos
3302275,AMAL 4MG/2ML AMP IV (ONDANSETRSN),Tracto alimentario y metabolismo
3302276,ARCOXIA 60MG C/7 TAB (ETORICOXIB),No encontrado
3302277,INDERALICI 10MG C/50 TAB(PROPRANOLOL),Sistema cardiovascular
3302278,NEURONTIN 600MG C/15 CAPS(GABAPENTINA),No encontrado
3302280,INDERALICI 40MG C/30 TAB(PROPRANOLOL),Sistema cardiovascular
3302289,CIPROFLOX 500MG C/12 CAP SENOSIAN (CIPROFLOXACINO),Antiinfecciosos para uso sistémico
3302297,MYFUNGAR NITRATO DE OXICONAZOL 1G CREMA 20G,Dermatológicos
3302298,CRONOCAPS 3MG C/30 CAP MELATONINA,Sistema nervioso
3302300,IGAMAD AMP INMUNOGLOBULINA HUMANA,No encontrado
3302304,SOMAZINA 500MG C/20 TAB(CITICOLINA),No encontrado
3302307,FIRAC PLUS 100MG AMP (CLONIXINATO LISINA/PARGEVER),Sistema nervioso
3302308,AMOXIL 500MG C/12 CAP (AMOXICILINA),Antiinfecciosos para uso sistémico
3302312,ONICIT PONV 0.075MG/1.5ML AMP (PALONOSETRSN),Tracto alimentario y metabolismo
3302316,CUBICINE 350MG AMP IV (DAPTOMICINA),Antiinfecciosos para uso sistémico
3302319,NEXIUM MUPS 40MG C/14 TABS,Tracto alimentario y metabolismo
3302328,CO PLAVIX 75/100 MG C/28 TAB-CLOPIDOGREL/ACIDO ACETILSALICIL,No encontrado
3302332,EBIXA 10MG C/14 TAB(MEMANTINA),Sistema nervioso
3302334,DOSIER 2.5MG. C/30 CPR (MOSAPRIDA),No encontrado
3302337,CALTRATE 600+D C/60 TABCARBONATO DE CALCIO/VITAMITA D3,Tracto alimentario y metabolismo
3302343,CENTRUM SILVER (VITAMINAS Y MINERALES) TAB C/30,Tracto alimentario y metabolismo
3302347,AMOXIL 12H 875MG C/10 TABS (AMOXICILINA),Antiinfecciosos para uso sistémico
3302348,ISORBID SUBLINGUAL 5MG C/40 TAB(DINITRATO DE ISOSORBIDA),Sistema cardiovascular
3302350,ZALDIAR 37.5/325 MG C/10 TAB(PARACETAMOL/TRAMADOL),No encontrado
3302352,ISORBID 10MG C/40 TAB(DINITRATO DE ISOSORBIDA),Sistema cardiovascular
3302353,SUPRA 4MG C/30 TAB LIDAMIDINA,Tracto alimentario y metabolismo
3302354,ANGIOTROFIN RETARD 180MG C/10 TAB (DILTIAZEM),Sistema cardiovascular
3302355,DIMEGAN 10MG C/10 CAPS(LORATADINA) SENOSIAIN,Sistema respiratorio
3302357,FOSFOCIL IM 1G AMP (FOSFOMICINA),Antiinfecciosos para uso sistémico
3302361,UNAMOL PED 1MG/ML SUSP 60ML C/PIP(CISAPRIDA),Tracto alimentario y metabolismo
3302369,SINERGIX 10MG/25MG C/10 CAP (TRAMADOL/KETOROLACO),Sistema nervioso
3302371,CIPROLISINA SOLUCION 220ML(CIPROHEPTADINA/CIANOCOBALAMINA),Tracto alimentario y metabolismo
3302372,DIANE 2/0.35MG C/21 GRAG(CITROPERONA/ETINILESTRADIOL),Sistema genitourinario y hormonas sexuales
3302375,KALIOLITE 500MG C/50 GRAGEAS(CLORURO DE POTASIO),Tracto alimentario y metabolismo
3302376,CEFAXONA IV 1G 10ML (CEFTRIAXONA),Antiinfecciosos para uso sistémico
3302377,ACTRON 600MG C/30 CAP (IBUPROFENO),Sistema musculoesquelético
3302379,SOPHIXIN DX SOL 5ML OFTCIPROFLOXACINO/DEXAMETASONA,Órganos de los sentidos
3302381,NEUROBION C/60 TABLETAS,Tracto alimentario y metabolismo
3302382,VITACILINA UNG 28G(RETINOL NEOMICINA),Dermatológicos
3302384,"KAOMYCIN SUSPENCION 180 ML(NEOMICINA,CAOLIN-PECTINA)",Tracto alimentario y metabolismo
3302385,ALLEGRA 120MG C/10 CPR(FEXOFENADINA),Sistema respiratorio
3302391,ANTIFLUDES C/24 CAP (PS)(AMANTADINA/CLORFENAMINAPARACETAMOL),Sistema respiratorio
3302392,AMOXIL PED 250MG 75ML SUSP (AMOXICILINA),Antiinfecciosos para uso sistémico
