MedCode,MedDescription,MedPharmacon,MedFamily
3301355,TIAMIDEXAL 2ML/I.M. X AMP (DEXAMETASONA/TIAMINA/CIANOCOBAL.),TIAMIDEXAL,Sistema musculoesquelético
3301357,VIBRAMICINA 100MG C/10 CAPS(DOXICICLINA),VIBRAMICINA,Antiinfecciosos para uso sistémico
3301358,MOTRIN RETARD 800MG C/30 GRAGEAS(IBUPROFENO),MOTRIN,Sistema musculoesquelético
3301363,NOVOVARTALON SOB C/30,NOVOVARTALON,Sistema musculoesquelético
3301364,EPAMIN SP 250MG AMP 5ML (FENITOINA),EPAMIN,Sistema nervioso
3301367,PRESTOFLAM LD 250/50 MG C/14CLONIXINATO DE LISINA/DICLOFENAC,PRESTOFLAM,Sistema musculoesquelético
3301368,ZACTOS 15MG C/7 TAB PIOGLITAZONA,ZACTOS,Tracto alimentario y metabolismo
3301372,SENOKOT F 17.2MG C/30 TABS(SENOSIDOS A-B),SENOKOT,Tracto alimentario y metabolismo
3301375,EXFORGE HCT 5/160/12.5 C/28 CPR(AMLODIPINO/VALSARTAN/HIDROCL,EXFORGE,Sistema cardiovascular
3301376,CONTUMAX POLVO 17G C/15 SOBRES(POLIETILENGLICOL),CONTUMAX,Tracto alimentario y metabolismo
3301378,SUFREXAL COMBI C/10 OVULOS VAGI/ANSERINA/METRONIDAZOL/,SUFREXAL,Dermatológicos
3301381,PEPTOBISMOL SUSP 118ML ORIGINAL/CEREZA SUBSALICILATO DE BIS,PEPTOBISMOL,Tracto alimentario y metabolismo
3301382,GALVUS 50MG C/28 TAB.(VILDAGLIPTINA),GALVUS,Tracto alimentario y metabolismo
3301386,PROFENID I.V. 100MG 2ML AMP (KETOPROFENO),PROFENID,Sistema musculoesquelético
3301388,NULYTELY 110.1G POLVO SOBRE X PZA,NULYTELY,Tracto alimentario y metabolismo
3301389,ZACTOS 30MG C/7 TAB PIOGLITAZONA,ZACTOS,Tracto alimentario y metabolismo
3301392,PANTOZOL 40MG C/14 GRAG(PANTOPRAZOL),PANTOZOL,Tracto alimentario y metabolismo
3301393,ZYLOPRIM 300MG C/60 TAB(ALOPURINOL),ZYLOPRIM,Sistema musculoesquelético
3301397,HUMULIN N NPH 10ML (INSULINA HUMANA RECOMBINANTE ISSFANA ),HUMULIN,Tracto alimentario y metabolismo
3301398,HUMULIN R 10ML 100UI/ML AMP (INSULINA HUMANA RECOMBINANTE),HUMULIN,Tracto alimentario y metabolismo
3301406,NIMOTOP 10MG AMP 50ML (NIMODIPINO),NIMOTOP,Sistema cardiovascular
3301409,CELESTONE 3MG SOLUSPAN JERINGA 1ML.(BETAMETASONA),CELESTONE,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301411,ASPIRINA JUNIOR 100MG C/60 TAB ACIDO ACETILSALICILICO,ASPIRINA,Sistema nervioso
3301412,CELESTONE HYPAK AMPOLLETA(BETAMETASONA) 8MG/2ML,CELESTONE,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301421,"FEBRAX 100MG C/5 SUPOSITORIOS(NAPROXENO ,PARACETAMOL)",FEBRAX,Sistema nervioso
3301425,TEOLONG 200MG C/20 CAPS(TEOFILINA/THEOPHYLLINE),TEOLONG,Sistema respiratorio
3301430,QLAIRA 28 COMP. ORAL,QLAIRA,No encontrado
3301432,ALMETEC CO 20/12.5MG C/28 TAB ALMESARTAN/HIDROCLOROTIAZIDA),ALMETEC,Sistema cardiovascular
3301433,REGIVAS 400MG C/20 TAB RECUBIERTASDRONEDARONA,REGIVAS,Sistema cardiovascular
3301437,UNAMOL 5MG C/30 CPR(CISAPRIDA),UNAMOL,Tracto alimentario y metabolismo
3301438,UNAMOL 10MG C/30 CPR(CISAPRIDA),UNAMOL,Tracto alimentario y metabolismo
3301442,GLUCOPHAGE 500MG C/60 TAB(METFORMINA),GLUCOPHAGE,Tracto alimentario y metabolismo
3301448,LIBERTRIM 200MG C/24 CPR(TRIMEBUTINA),LIBERTRIM,Tracto alimentario y metabolismo
3301450,CLORURO DE SODIO CAPSULAS.,CLORURO,Sangre y órganos hematopoyéticos
3301452,CARDISPAN (LEVOCARNITINA) 1 G /5 ML AMP,CARDISPAN,Tracto alimentario y metabolismo
3301455,SINUBERASE C/48 CPR,SINUBERASE,Tracto alimentario y metabolismo
3301456,EXFORGE 10/160MG C/28 COMP (AMLODIPINO/VALSARTAN),EXFORGE,Sistema cardiovascular
3301460,ZYRTEC 10MG C/10 TAB(CETIRIZINA),ZYRTEC,No encontrado
3301463,ITALDERMOL 15/1G CREMA 30G TUBO(TRITICUM VULGARE),ITALDERMOL,Dermatológicos
3301464,ITALDERMOL 4G C/10 GASAS(TRITICUM VULGARE),ITALDERMOL,Dermatológicos
3301470,"BEDOYECTA TRIC/1 AMPOLLETA HIDROXOCOBALAMINA, VITAMINAS B1",BEDOYECTA,Tracto alimentario y metabolismo
3301472,PROZAC 20MG C/14 CAPS(FLUOXETINA),PROZAC,Sistema nervioso
3301473,FLORATIL 200MG C/6 CAPS(SACCHAROMYCES BOULARDII),FLORATIL,Tracto alimentario y metabolismo
3301480,LIBERTRIM 100MG C/20 CPR TRIMEBUTINA,LIBERTRIM,Tracto alimentario y metabolismo
3301490,SUPRADOL GEL 30GR KETOROLACO,SUPRADOL,Sistema musculoesquelético
3301492,AKINETON 2MG C/30 TAB (BIPERIDENO),AKINETON,Sistema nervioso
3301493,EXFORGE 10/160 C/14 CPR(AMLODIPINO/VALSARTAN),EXFORGE,Sistema cardiovascular
3301496,TOBRADEX 3.5GR UNGUENTO(TOBRAMICINA/DEXAMETASONA),TOBRADEX,Órganos de los sentidos
3301497,LOGIMAX 5/47.5MG C/14 TAB (FELODIPINO/METOPROLOL),LOGIMAX,Sistema cardiovascular
3301498,BICARTIAL 5 MG/100 MG C/14 CAPS(AMLODIPINO/LOSARTAN),BICARTIAL,Sistema cardiovascular
3301506,SIFROL 0.5MG TAB C/30 PRAMIPEXOL,SIFROL,Sistema nervioso
3301508,VIVITAR 100MG C/30 (ESPIRONOLACTONA),VIVITAR,Sistema cardiovascular
3301511,"MADOPAR 100MG/25MG 125MG C/30 CAP(LEVODOPA,BENDERAZIDA)",MADOPAR,Sistema nervioso
3301518,CONCOR 5MG C/30 GRAG(BISOPROLOL) MERCK,CONCOR,Sistema cardiovascular
3301523,AVELOX 400MG C/7 TAB (MOXIFLOXACINO),AVELOX,Antiinfecciosos para uso sistémico
3301525,PROCORALAN 7.5MG C/56 COMP (IVABRADINA),PROCORALAN,Sistema cardiovascular
3301526,CLARITYNE 10MG C/10 TAB LORATADINA,CLARITYNE,Sistema respiratorio
3301533,RELENZA 5MG 5X4 C/DISPOSITIVO INHALADOR ZANAMIVIR,RELENZA,No encontrado
3301534,FLONORM 100MG SUSP. 60ML(RIFAXIMINA),FLONORM,Tracto alimentario y metabolismo
3301535,LECHE DE MAGNESIA NORMEX 180ML(LECHE DE MAGNESIA),LECHE,No encontrado
3301536,BIOTREFON L C/12 SOBRES,BIOTREFON,Sangre y órganos hematopoyéticos
3301540,DOLAC 30MG SUBLINGUAL C/2 TAB KETOROLACO,DOLAC,Sistema musculoesquelético
3301542,REZPLEN 500/45MG C/10 TABCLARITROMICINA/AMBROXOL,REZPLEN,Sistema respiratorio
3301545,CLORAMFENI OTICO SOL 10ML GOTAS(CLORANFENICOL),CLORAMFENI,Órganos de los sentidos
3301547,VITERNUM JARABE 140ML DIHEXAZINA),VITERNUM,Tracto alimentario y metabolismo
3301549,CIPROFLOX 500MG C/6 CAP (CIPROFLOXACINO),CIPROFLOX,Antiinfecciosos para uso sistémico
3301550,CLOROTRIMETON REP 4MG C/20 TAB(CLORFENAMINA),CLOROTRIMETON,Sistema respiratorio
3301552,INMUNEF 30MUI 0.5ML(FILGRASTIM),INMUNEF,Antineoplásicos e inmunomoduladores
3301553,CLOROTRIMETON REP 8MG C/20 TAB(CLORFENAMINA),CLOROTRIMETON,Sistema respiratorio
3301556,CLOROTRIMETON 10MG AMP (CLORFENAMINA),CLOROTRIMETON,Sistema respiratorio
3301558,DAFLOXEN F 275/300MG C/16 TAB(NAPROXENO/PARACETAMOL),DAFLOXEN,Sistema nervioso
3301560,NIDO KINDER 1+ BOTE 800MG (LECHE EN POLVO),NIDO,Falla en Google
3301561,CITOX 20MG C/28 TAB (CITALOPRAM),CITOX,Sistema nervioso
3301564,TAFIROL 1GR C/20 TAB,TAFIROL,Sistema nervioso
3301566,SUPRADOL 60MG AMP 2ML (KETOROLACO),SUPRADOL,Sistema musculoesquelético
3301569,VIRLIX 10MG C/10 TAB(CETIRIZINA),VIRLIX,Sistema respiratorio
3301570,ULSEN PCS 40MG C/14 TAB (OMEPRAZOL),ULSEN,Tracto alimentario y metabolismo
3301571,RISPERDAL 2MG C/20 TAB(RISPERIDONA),RISPERDAL,No encontrado
3301572,RANTUDIL RETARD 90MG C/14 CAPSACEMETACINA,RANTUDIL,Sistema musculoesquelético
3301573,AVIANT 5MG C/30 TAB(DESLORATADINA),AVIANT,Sistema respiratorio
3301577,MONUROL 3GR SOBRES CAJA C/1 FOSFOMICINA,MONUROL,Antiinfecciosos para uso sistémico
3301578,STADIUM 25MG C/10 TABS DEXKETOPROFENO TROMETAMOL,STADIUM,Sistema musculoesquelético
3301580,CARNOTPRIM 10MG C/20 CPR METOCLOPRAMIDA,CARNOTPRIM,Tracto alimentario y metabolismo
3301582,TOPAMAX 25MG C/20 TAB(TOPIRAMATO),TOPAMAX,No encontrado
3301585,CORDARONE 150MG AMP 3ML (AMIODARONA),CORDARONE,Sistema cardiovascular
3301586,CORDARONE 200MG C/20 TAB(AMIODARONA ),CORDARONE,Sistema cardiovascular
3301588,AVAPRO 150MG C/14 TAB(IRBESARTAN),AVAPRO,Sistema cardiovascular
3301594,CORPOTASIN CL C/50 TAB AMSTRONG,CORPOTASIN,Tracto alimentario y metabolismo
3301595,SEROQUEL 100MG C/30 TAB (QUETIAPINA),SEROQUEL,Sistema nervioso
3301597,INHIBITRON 40MG AMP 10ML (OMEPRAZOL),INHIBITRON,Tracto alimentario y metabolismo
3301599,COAPROVEL 150MG/12.5MG C/14 TAB(IRBESARTAN/HIDROCLOROTIAZIDA,COAPROVEL,Sistema cardiovascular
3301600,ALIN GOTAS NASAL 20ML(DEXAMETASONA/FENILEFRINA/NEOMICINA),ALIN,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301601,CYTOTEC 200MCG C/28 TAB (MISOPROSTOL),CYTOTEC,Tracto alimentario y metabolismo
3301602,DACTIL OB 100MG C/30 GRAGEAS(PIPERIDOLATO),DACTIL,Tracto alimentario y metabolismo
3301603,COAPROVEL 300/12.5MG C/14 TAB(IRBESARTAN/HIDROCLOROTIAZIDA),COAPROVEL,Sistema cardiovascular
3301604,DALACIN C 300 C/16 CAPS(CLINDAMICINA),DALACIN,Antiinfecciosos para uso sistémico
3301606,DANZEN 10MG C/20 TAB(SERRATIOPEPTIDASA) HORMONA,DANZEN,Sistema respiratorio
3301607,CO DIOVAN 80MG/12.5MG C/14 GRAGEASVALSARTANHIDROCLOROTIAZIDA,CO,No encontrado
3301608,CO DIOVAN 160MG/12.5MG C/14 GRAGEASVALSARTANHIDROCLOROTIAZID,CO,No encontrado
3301609,ALDACTONE 100MG C/30 TAB (ESPIRONOLACTONA ),ALDACTONE,Sistema cardiovascular
3301617,PANTOZOL P20 20MG C/28 GRAG (PANTOPRAZOL),PANTOZOL,Tracto alimentario y metabolismo
3301623,ACTRON 200 200MG C/10 CAPS (IBUPROFENO),ACTRON,Sistema musculoesquelético
3301625,ALDACTONE A 25MG C/30 TAB (ESPIRONOLACTONA),ALDACTONE,Sistema cardiovascular
3301626,UROMES 400MG AMP C/5 (MESNA),UROMES,Varios
3301627,DORIXINA 250MG C/10 TAB(CLONIXINATO DE LISINA),DORIXINA,Sistema musculoesquelético
3301628,VARILRIX 0.5 ML 1JERIGA PRELLENADA (ANTIVARICELA),VARILRIX,Antiinfecciosos para uso sistémico
3301632,DIMODAN 100MG C/20 CAP (DISOPIRAMIDA),DIMODAN,Sistema cardiovascular
3301637,ZOVIRAX 5G CREMA(ACICLOVIR),ZOVIRAX,Antiinfecciosos para uso sistémico
3301640,CARBOTURAL (CARBON ACTIVADO) 250 MG TAB C/60,CARBOTURAL,Tracto alimentario y metabolismo
3301641,BI PROFENID 150MG C/10 TAB KETOPROFENO,BI,No encontrado
3301642,X-PREP 75ML JBE(SENOSIDOS A-B),X-PREP,Tracto alimentario y metabolismo
3301643,MENSIFEM C/30 TAB CIMICIFUGA RECEMOSA,MENSIFEM,Sistema genitourinario y hormonas sexuales
3301648,ISOX 3-D 100MG C/6 CAPS(ITRACONAZOL),ISOX,Antiinfecciosos para uso sistémico
3301652,AEROFLUX 120ML SOLUCION (SALBUTAMOL/AMBROXOL),AEROFLUX,Sistema respiratorio
3301654,"KRYTAN TEK OFTENO GOTAS 5ML(DORZOLAMINA,TIMODOL,BRIMONIDINA)",KRYTAN,Órganos de los sentidos
3301656,SALOFALK SUSP.ENEMA 60ML,SALOFALK,Tracto alimentario y metabolismo
3301658,DEXABION AMP PRELLENADA 1ML(COMPLEJO B/LIDOCAINA),DEXABION,Sistema musculoesquelético
3301662,TAFIROL FLEX 300/250MG C/30 TAB(PARACETAMOL/CLORZOXAZONA),TAFIROL,Sistema nervioso
3301665,KYTRIL 3MG AMP 3ML (GRANISETRON),KYTRIL,Tracto alimentario y metabolismo
3301667,PREDNEFRIN 1% SF 5ML PREDNISOLONA,PREDNEFRIN,Órganos de los sentidos
3301674,TRADOL RETARD 50MG C/10 TAB (TRAMADOL),TRADOL,Sistema nervioso
3301676,DALACIN T GEL 30GR CLINDAMICINA AL 1%,DALACIN,Antiinfecciosos para uso sistémico
3301677,ANTIGRAM C/10 SOBRESACETIL SALICILICO/METOCLOPRAMIDA,ANTIGRAM,Sistema nervioso
3301683,ZYPREXA 10MG C/7 (OLANZAPINA),ZYPREXA,Sistema nervioso
3301690,LIPITOR 20MG C/15 TAB(ATORVASTATINA),LIPITOR,Sistema cardiovascular
3301696,ZOMIG 2.5MG C/2 TAB(ZOLMITRIPTANO),ZOMIG,No encontrado
3301699,AMARYL 2MG C/15 TAB(GLIMEPIRIDA),AMARYL,Tracto alimentario y metabolismo
3301700,AMARYL 4MG C/15 TAB(GLIMEPIRIDA),AMARYL,Tracto alimentario y metabolismo
3301705,DILACORAN RETARD 120MG C/30 TAB VERAPAMILO,DILACORAN,Sistema cardiovascular
3301709,IMURAN 50MG C/25 TAB AZATIOPRINA,IMURAN,Antineoplásicos e inmunomoduladores
3301713,AMOXICLAV BID 875MG/125MG C/14 TAB(AMOXICILINA/ACIDO,AMOXICLAV,Antiinfecciosos para uso sistémico
3301714,DOLAC 10MG C/10 TAB (KETOROLACO) SIEGFRIED RHEIN,DOLAC,Sistema musculoesquelético
3301715,DILARMINE 1MG/2MG C/25 TAB PARAMETASONA/CLORFERAMINA,DILARMINE,Sistema respiratorio
3301718,CIPRO XR 1G C/3 TAB CIPROFLOXACINO,CIPRO,Antiinfecciosos para uso sistémico
3301719,FORTEO COLTER 250MCG/2.4ML PLUMA TERIPARATIDA,FORTEO,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301720,ZOMIG RAPIMELT 2.5MG C/2 TAB(ZOLMITRIPTANO),ZOMIG,No encontrado
3301721,EUTIROX 75MCG C/50 TAB(LEVOTIROXINA SODICA),EUTIROX,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301727,ALLEGRA D 60/25MG C/10 TAB(FEXOFENADINA/FENILEFRINA),ALLEGRA,Sistema respiratorio
3301736,TRAZIL OFTENO 15ML SOL GTS(TOBRAMICINA),TRAZIL,Órganos de los sentidos
3301740,ACTRON 400 400MG C/10 CAP (IBUPROFENO) LAB. BAYER DE MEXICO,ACTRON,Sistema musculoesquelético
3301747,LYRICA 75MG C/14 TAB (PREGABALINA),LYRICA,Sistema nervioso
3301748,ZESTRIL 10MG C/14 TAB(LISINOPRIL),ZESTRIL,Sistema cardiovascular
3301750,AVAMYS 2A 120 DOSIS SPRAY 50ML(FLUTICASONA),AVAMYS,Sistema respiratorio
3301752,DORIXINA 100MG AMP 2ML CLONIXINATO DE LISINA,DORIXINA,Sistema musculoesquelético
3301757,FOLIVITAL 0.4MG C/90 TABS(ACIDO FOLICO),FOLIVITAL,Sangre y órganos hematopoyéticos
3301758,TARGOCID 400MG AMP (TEICOPLANINA),TARGOCID,No encontrado
3301759,LOMOTIL 2MG C/8 TAB (LOPERAMIDA ),LOMOTIL,Tracto alimentario y metabolismo
3301762,XARELTO 10MG C/10 CAP(RIVAROXABAN),XARELTO,Sangre y órganos hematopoyéticos
3301768,ATEMPERATOR LP (VALPROATO DE MAGNESIO) 600 MG TAB LP C/20,ATEMPERATOR,Sistema nervioso
3301771,SOMAZINA 1G AMP 4ML (CITICOLINA),SOMAZINA,No encontrado
3301776,MINITRAN 18.0 MG (5 MG)PARHE POR PIEZA,MINITRAN,Sistema cardiovascular
3301777,DOLO NEUROBION FORTE AMP PRELLENADA 3 ML(COMPLEJO B/LIDOCAIN,DOLO,Tracto alimentario y metabolismo
3301778,FLIXOTIDE 2MG AMP 2ML (FLUTICASONA),FLIXOTIDE,Sistema respiratorio
3301780,ACLASTA 5MG/100ML AMP (ACIDO ZOLEDRSNICO),ACLASTA,Sistema musculoesquelético
3301783,PRADAXAR 75MG C/30 CAPDABIGATR@N ETEXILATO,PRADAXAR,Sangre y órganos hematopoyéticos
3301784,PULMICORT 0.250MG 2ML AMP (BUDESONIDA),PULMICORT,Sistema respiratorio
3301788,DOLO NEUROBION FORTE C/30 GRAGEAS COMPLEJO B/DICLOFENACO,DOLO,Tracto alimentario y metabolismo
3301789,DOLO NEUROBION 50MG C/30 GRAGEAS(COMPLEJO B/DICLOFENACO),DOLO,Tracto alimentario y metabolismo
3301790,DOLO NEUROBION AMP C/3 (COMPLEJO B/DICLOFENACO),DOLO,Tracto alimentario y metabolismo
3301791,AMOXICLAV (AMOXICILINA/AC CLAVULANICO) 500MG/125MG TAB C/15,AMOXICLAV,Antiinfecciosos para uso sistémico
3301794,DORIXINA 125MG C/10 TAB(CLONIXINATO DE LISINA),DORIXINA,Sistema musculoesquelético
3301806,MOTRIN INF 120ML SUSP FSA(IBUPROFENO),MOTRIN,Sistema musculoesquelético
3301808,ADALAT CC 30MG C/30 COMP.(NIFEDIPINO,ADALAT,No encontrado
3301812,ZESTORETIC 20MG/12.5 (LISINOPRIL/HIDROCLOROTIAZIDA) C/14 TAB,ZESTORETIC,Sistema cardiovascular
3301813,ELOMET 100MG UNGUENTO 30G(MOMETASONA),ELOMET,Dermatológicos
3301814,CLARITYNE PED 100 MG 30ML GTS(LORATADINA),CLARITYNE,Sistema respiratorio
3301821,TAVOR 5MG C/30 TAB OXIBUTININA,TAVOR,Antiinfecciosos para uso sistémico
3301824,EPIVAL 500MG C/30 CPR (VALPROATO SEMISODICO),EPIVAL,Sistema nervioso
3301828,ESPAVEN GTS PED 30ML(DIMETICONA),ESPAVEN,Tracto alimentario y metabolismo
3301834,FUCIDIN 2% CREMA 15G TUBO(ACIDO FUSIDICO),FUCIDIN,Dermatológicos
3301836,LYSOMUCIL 600 MG C/20 TAB EFERV(ACETILCISTEINA),LYSOMUCIL,Sistema respiratorio
3301843,TECTA 20MG C/14 TAB(PANTOPRAZOL),TECTA,Tracto alimentario y metabolismo
3301845,CO DIOVAN 320MG/12.5MG C/14 TAB-VALSARTAN/HIDROCLOROTIAZIDA,CO,No encontrado
3301846,EUGLUCON 5MG C/50 TAB(GLIBENCLAMIDA),EUGLUCON,Tracto alimentario y metabolismo
3301849,PRADAXAR 110MG C/30 CAP,PRADAXAR,Sangre y órganos hematopoyéticos
3301851,EUTIROX 100MCG C/50 TAB(LEVOTIROXINA SODICA),EUTIROX,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301856,EUTIROX 50MCG C/50 TAB(LEVOTIROXINA SODICA),EUTIROX,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301857,CILOXAN 0.300G SOLUCION 5ML(CIPROFLOXACINO),CILOXAN,Órganos de los sentidos
3301861,AZOPT (BRINZOLAMIDA) 10 MG /ML GOTAS 5 ML,AZOPT,Órganos de los sentidos
3301866,GARDASIL 0.5ML JGA PRELLENADA VACUNA CONTRA VIRUS DEL PAPILO,GARDASIL,Antiinfecciosos para uso sistémico
3301871,GALVUS MET 50MG/500MG C /30(VILDAGLIPTINA/METFORMINA),GALVUS,Tracto alimentario y metabolismo
3301872,ARIXTRA 2.5MG/0.5ML JGA PRELL CAJA C/2 AMP FONDAPARINUX SSDI,ARIXTRA,Sangre y órganos hematopoyéticos
3301873,SERETIDE DISKUS 50UG/250U INHALADORDOSISSALMETEROL/FLUTICASO,SERETIDE,No encontrado
3301874,ISOX 15-D 100MG C/15 CAPS(ITRACONAZOL),ISOX,Antiinfecciosos para uso sistémico
3301879,FEBRAX 275MG/300MG C/15 TAB (NAPROXENO /PARACETAMOL ),FEBRAX,Sistema nervioso
3301881,"FEBRAX 2.5/2G SUSPENSION 100ML(NAPROXENO,PARACETAMOL)",FEBRAX,Sistema nervioso
3301883,SPASMOPRIV 200MG C/12 CAPS FENOVERINA,SPASMOPRIV,Tracto alimentario y metabolismo
3301886,UNIVAL 1GR C/40 TAB(SUCRALFATO),UNIVAL,Tracto alimentario y metabolismo
3301887,"ALMETEC CO 40/12.5MG C/14 TAB-OLMESARTAN,HIDROCLOROTIAZIDA",ALMETEC,Sistema cardiovascular
3301889,EPAMIN 100MG C/50 CAPS(FENITOINA),EPAMIN,Sistema nervioso
3301893,TRAZIDEX OFT 5ML SOL GTS(TOBRAMICINA/DEXAMETASONA),TRAZIDEX,Órganos de los sentidos
3301894,AVALIDE 300/25MG C/14 TAB(IRBESARTAN/HIDROCLOROTIAZIDA),AVALIDE,Sistema cardiovascular
3301895,FERRANINA I.M. 100MG AMP 2ML (HIERRO POLIMALTOSADO),FERRANINA,Sangre y órganos hematopoyéticos
3301896,NOVOVARTALON C/15 SOBRES,NOVOVARTALON,Sistema musculoesquelético
3301898,STALEVO 100/25/200MG C/30 TABLEVODOPA/CARBIDOPA/ENTACAPONA,STALEVO,Sistema nervioso
3301899,FLUMIL 40/1.5/1.5MG C/20 CAPS(AMINOFENAZONA BUFENINA),FLUMIL,No encontrado
3301900,GLYPRESSIN 1MG AMP (ACETATO DE TERLIPRESINA),GLYPRESSIN,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3301901,FLAGENASE 400MG C/30 CAP(METRONIDAZOL),FLAGENASE,"Antiparasitarios, insecticidas y repelentes"
3301905,PREVENAR 13 JERIN. PRELL CAJA C/1,PREVENAR,Antiinfecciosos para uso sistémico
3301906,FLAGYL 500MG C/30 CPR(METRONIDAZOL),FLAGYL,Antiinfecciosos para uso sistémico
3301907,BUSCAPINA FEM 20/400MG C/10 TAB BUTILHIOSCINA/IBUPROFENO,BUSCAPINA,No encontrado
3301908,COUMADIN 5MG C/30 TAB-WARFARINA SSDICA,COUMADIN,Sangre y órganos hematopoyéticos
3301913,FLAGYL 250MG SUSP 120ML(METRONIDAZOL),FLAGYL,Antiinfecciosos para uso sistémico
3301922,DOSTEIN 300MG C/20 (ERDOSTEINA),DOSTEIN,Sistema respiratorio
3301924,PLAVIX 75MG C/14 GRAGEAS(CLOPIDOGREL),PLAVIX,No encontrado
3301925,ADIMOD (PIDOTIMOD) 400MG/7ML FCO C/10,ADIMOD,Antineoplásicos e inmunomoduladores
3301929,FLANAX 275MG C/20 TAB(NAPROXENO),FLANAX,Sistema musculoesquelético
3301930,ZANIDIP 10MG C/10 TABS(LERCANIDIPINO),ZANIDIP,Sistema cardiovascular
3301938,FLONORM 200MG C/12 GRAG(RIFAXIMINA),FLONORM,Tracto alimentario y metabolismo
3301939,DEPO PROVERA 150MG JGA PRELL MEDROXIPROGESTERONA,DEPO,Sistema genitourinario y hormonas sexuales
3301940,FLORATIL 200MG C/6 SOBRES PED (SACCHAROMYCES BOULARDII),FLORATIL,Tracto alimentario y metabolismo
3301941,"ESPAVEN ENZIMATICO C/50 GRAG((DIMETICONA,PANCREATINA)",ESPAVEN,Tracto alimentario y metabolismo
3301945,PEMIX 1MG/5ML SOL 120MLCINITAPRIDA,PEMIX,Tracto alimentario y metabolismo
3301955,HIDRASEC 10MG C/18 SOBRES(RACECADOTRILO),HIDRASEC,No encontrado
3301959,CIPROFLOX 400MG AMP 200ML (CIPROFLOXACINO),CIPROFLOX,Antiinfecciosos para uso sistémico
3301960,RAPIX 30MG 2ML AMP (KETOROLACO),RAPIX,Sistema musculoesquelético
3301961,LIBERTRIM 100MG C/50 CPR(TRIMEBUTINA),LIBERTRIM,Tracto alimentario y metabolismo
3301962,PHARMATON C/30 CAPS,PHARMATON,Tracto alimentario y metabolismo
3301963,SAMYR 500MG AMP 5ML (ADEMETIONINA),SAMYR,Tracto alimentario y metabolismo
3301964,SAMYR 500MG C/10 TAB (ADEMETIONINA),SAMYR,Tracto alimentario y metabolismo
3301967,SUFREXAL P GEL 78G TUBO,SUFREXAL,Dermatológicos
3301969,RANISEN PED (RANITIDINA) 4G/100ML GOTAS 30ML,RANISEN,Tracto alimentario y metabolismo
3301979,MIFLONIDE 200MCG C/60 CAP(BUDESONINA),MIFLONIDE,Sistema respiratorio
3301980,TRAYENTA 5MG C/30 LINAGLIPTINA,TRAYENTA,Tracto alimentario y metabolismo
3301981,PRADAXAR 150MG C/30 TABDABIGATRAN,PRADAXAR,Sangre y órganos hematopoyéticos
3301982,DETRUSITOL SR 4MG C/14 TAB(TOLTERIDONA),DETRUSITOL,No encontrado
3301984,ACTRON 600 600MG C/10 TAB (IBUPROFENO) BAYER,ACTRON,Sistema musculoesquelético
3301991,DUSPATALIN C/14 TABS MEBEVERINA,DUSPATALIN,No encontrado
3301993,TEMERIT 5MG C/14 TAB NEBIVOLOL,TEMERIT,Sistema cardiovascular
3301996,FOSFOCIL IV 1G AMP (FOSFOMICINA),FOSFOCIL,Antiinfecciosos para uso sistémico
3301999,TUMS 500MG C/75 TAB CARBONATO DE CALCIO,TUMS,Tracto alimentario y metabolismo
3302000,CELEBREX 200MG C/10 CAPS(CELECOXIB) PFIRER,CELEBREX,Sistema musculoesquelético
3302001,FRAXIPARINE 0.3ML AMPOLLETA C/2 (ANTI XA DE NADROPARINA CALC,FRAXIPARINE,Sangre y órganos hematopoyéticos
3302002,FRAXIPARINE 0.6ML JERINGA PRELLENADA C/2 (ANTI XA DE NADROP,FRAXIPARINE,Sangre y órganos hematopoyéticos
3302004,CANESTEN 200MG C/3 OVULOS(CLOTRIMAZOL),CANESTEN,Dermatológicos
3302006,COSOPT 20MG/5MG SOL 5ML (DORZOLAMIDA/TIMOLOL),COSOPT,Órganos de los sentidos
3302010,ALIN OFT 90/3.50MG GOTAS 5ML(DEXAMETASONA/NEOMICINA),ALIN,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3302011,LOBIVON 5MG COM C/14(NEBIVOLOL),LOBIVON,No encontrado
3302013,NEXIUM MUPS 20MG C/14 TABS,NEXIUM,Tracto alimentario y metabolismo
3302015,ADALAT OROS 30MG C/30 TAB (NIFEDIPINO),ADALAT,No encontrado
3302017,MODIODAL 200MG C/14 TAB(MODAFINILO),MODIODAL,No encontrado
3302021,ZOVIRAX 30MG UNG 4.5G(ACICLOVIR),ZOVIRAX,Antiinfecciosos para uso sistémico
3302022,LOSEC A 20 20MG C/14 CAP(OMEPRAZOL ),LOSEC,No encontrado
3302026,DILATREND 6.25MG C/14 TAB(CARVEDILOL) ROCHE FARMA,DILATREND,Sistema cardiovascular
